"employee_id","course_number","course_name","course_credit_type","power_school_number","school_number","campus","campus_type","work_start_date","work_end_date","leave_start_date","leave_end_date","fmla_days_out","missing_begining_start_date","missing_begining_end_date","missing_begining_days_out","missing_ending_start_date","missing_ending_end_date","missing_ending_days_out","total_days_out"
18062,"xADV0310310","Advanced Mathematics, Grade 8-Algebra I","MATH",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
83759,"xADV0320054","Advanced English Language Arts, Grade 7","ELA",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
84052,"xADV0320055","Advanced English Language Arts, Grade 8","ELA",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94577,"xADV0334300","Advanced Social Studies, Grade 7-Texas H","SS",108807060,108807020,"Carver","College Prep",2023-08-21,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
85783,"xADV0334310","Advanced Social Studies, Gr 8-U.S. Histo","SS",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18450,"xPAP0301028","Pre-AP Biology (8th Grade)","SCI",108807060,108807020,"Carver","College Prep",2023-08-01,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
91563,"xADV0280000","Advanced English Language Arts, Grade 6","ELA",109907001,108807038,"Pflugerville","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
87207,"x820006RI","Reading Intervention-6th","ELA",109907001,108807038,"Pflugerville","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
87207,"x821006MI","Math Intervention-6th","MATH",109907001,108807038,"Pflugerville","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
87207,"x829107RI","Reading Intervention-7th","ELA",109907001,108807038,"Pflugerville","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
87207,"x829207MI","Math Intervention-7th","MATH",109907001,108807038,"Pflugerville","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
85284,"x830008RI","Reading Intervention-8th","ELA",109907001,108807038,"Pflugerville","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94003,"xADV0264006","Advanced Mathematics, Grade 6","MATH",109907001,108807038,"Pflugerville","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92978,"xADV0266006","Advanced Social Studies, Grade 6-World H","SS",109907001,108807038,"Pflugerville","College Prep",2023-07-31,2024-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
93853,"xADV0306060","Advanced Science, Grade 6-Earth Science","SCI",109907001,108807038,"Pflugerville","College Prep",2023-07-11,2024-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
101225,"xADV0306070","Advanced Science, Grade 7-Life Science","SCI",109907001,108807038,"Pflugerville","College Prep",2024-03-25,2024-05-28,NA,NA,NA,2023-09-01,2024-03-24,205,NA,NA,NA,205
