School Year,Category,Department,Internal Role,Req ID,Opening Type,Status,Job Title,Req Openings,Req Remaining Openings,Location,Region,Job Type,JOB_MOST_RECENT_OPEN_DATE,JOB_FILLED_ON,Position Control Number
2023-2024,Instructional,Para-Professional - General Education,Co-Teacher: Academy,2022-5779,Mid-Year Vacancy,Filled,Kindergarten Co-Teacher-IDEA Parmer Park Academy (Immediate Opening),1,0,IDEA Parmer Park Academy,"Greater Austin, TX",Full-Time,7/20/2023,8/2/2023,88308
2023-2024,Headquarters,Talent Acquisition,Not Applicable,2022-5782,Mid-Year Vacancy,Filled,Lead Talent Recruiter - San Antonio (Immediate Opening),1,0,San Antonio Regional Office,"San Antonio, TX",Full-Time,8/1/2023,7/24/2023,97786
2023-2024,Instructional,Teaching - Math,Teacher: 9-12 Math,2022-5788,Mid-Year Vacancy,Filled,Geometry Teacher - IDEA Ewing Halsell College Prep (Immediate Opening),1,0,IDEA Ewing Halsell College Prep,"San Antonio, TX",Full-Time,11/8/2023,11/15/2023,92340
2023-2024,Instructional,Teaching - Math,Teacher: 9-12 Math,2022-5790,Annual Vacancy,Filled,IB Math Teacher - IDEA McAllen College Prep (Immediate Opening),1,0,IDEA McAllen College Prep,"Upper Rio Grande Valley, TX",Full-Time,7/10/2023,7/18/2023,88530
2023-2024,Instructional,Teaching - Special Education,Teacher (Academy): Cooperating SpEd RISE,2022-5794,Mid-Year Vacancy,Filled,Cooperating Special Education RISE Teacher - IDEA Tres Lagos Academy (Immediate Opening),1,0,IDEA Tres Lagos Academy,"Upper Rio Grande Valley, TX",Full-Time,9/15/2023,9/20/2023,89667
2023-2024,Instructional,Teaching - Other,Teacher (College Prep): Interventionist,2022-5795,Mid-Year Vacancy,Filled,Interventionist Teacher - IDEA Quest College Prep (Immediate Opening),1,0,IDEA Quest College Prep,"Mid Rio Grande Valley, TX",Full-Time,7/10/2023,8/4/2023,102178
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 6-8 ELA,2022-5797,Annual Vacancy,Filled,6th grade ELA Pre-AP Teacher - IDEA Quest College Prep (Immediate Opening),1,0,IDEA Quest College Prep,"Mid Rio Grande Valley, TX",Full-Time,7/10/2023,7/21/2023,89623
2023-2024,Operations,Facilities and Construction,Custodian (Shared),2022-5813,Mid-Year Vacancy,Filled,Custodian - IDEA Donna  (Immediate Opening),1,0,IDEA Donna,"Mid Rio Grande Valley, TX",Full-Time,7/12/2023,8/17/2023,97055
2023-2024,Instructional,Teaching - Social Studies,Teacher: 1-5 Social Studies/Science,2022-5815,Annual Vacancy,Filled,3rd grade Science/Social Studies Teacher - IDEA Hardy Academy (Immediate Opening),1,0,IDEA Hardy Academy,"Greater Houston, TX",Full-Time,7/11/2023,7/18/2023,98972
2023-2024,Operations,Child Nutrition Program,Food Service Specialist (Shared),2022-5820,Mid-Year Vacancy,Filled,Food Service Specialist - IDEA Rise (Immediate Opening),1,0,IDEA Rise,"Tarrant County, TX",Full-Time,7/10/2023,7/24/2023,102218
2023-2024,Operations,Child Nutrition Program,Food Service Specialist (Shared),2022-5822,Mid-Year Vacancy,Filled,Food Service Specialist - IDEA Rise (Immediate Opening),1,0,IDEA Rise,"Tarrant County, TX",Full-Time,7/10/2023,7/25/2023,102217
2023-2024,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2022-5824,Mid-Year Vacancy,Filled,Food Service Specialist Substitute - IDEA Donna (Immediate Opening),1,0,IDEA Donna,"Mid Rio Grande Valley, TX",Part-Time,7/10/2023,9/28/2023,92253
2023-2024,Operations,Child Nutrition Program,Food Service Specialist (Shared),2022-5825,Mid-Year Vacancy,Filled,Food Service Specialist - IDEA Achieve (Immediate Opening),1,0,IDEA Achieve,"Tarrant County, TX",Full-Time,8/11/2023,8/16/2023,94107
2023-2024,Operations,Child Nutrition Program,Food Service Specialist (Shared),2022-5826,Mid-Year Vacancy,Filled,Food Service Specialist Substitute - IDEA Southeast (Immediate Opening),1,0,IDEA Southeast,"Tarrant County, TX",Full-Time,7/10/2023,8/2/2023,102396
2023-2024,Instructional,Teaching - Other,Teacher (College Prep): Interventionist,2022-5827,Annual Vacancy,Filled,Interventionist Teacher - IDEA Mays College Prep (Immediate Opening),1,0,IDEA Mays College Prep,"San Antonio, TX",Full-Time,7/10/2023,7/26/2023,99048
2023-2024,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2022-5828,Mid-Year Vacancy,Filled,Food Service Specialist Substitute - IDEA Edgecliff (Immediate Opening),1,0,IDEA Edgecliff,"Tarrant County, TX",Part-Time,7/21/2023,7/28/2023,102397
2023-2024,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2022-5829,Mid-Year Vacancy,Filled,Food Service Specialist Substitute - Achieve (Immediate Opening),1,0,IDEA Achieve,"Tarrant County, TX",Part-Time,7/10/2023,7/12/2023,102395
2023-2024,Operations,Child Nutrition Program,Food Service Specialist Substitute (Shared),2022-5830,Mid-Year Vacancy,Filled,Food Service Specialist Substitute - IDEA Southeast (Immediate Opening),1,0,IDEA Southeast,"Tarrant County, TX",Part-Time,7/10/2023,8/28/2023,97865
2023-2024,Operations,Technology Operations,Campus Computer Technician (Shared),2022-5836,Mid-Year Vacancy,Filled,Campus Computer Technician - IDEA Cincinnati (Immediate Opening),1,0,IDEA Valley View,"Cincinnati, OH",Full-Time,7/11/2023,7/26/2023,2861
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 1-5 ELA,2022-5842,Mid-Year Vacancy,Filled,3rd grade ELA Teacher - IDEA University Prep Academy (Immediate Opening),1,0,IDEA University Prep Academy,Southern Louisiana,Full-Time,7/12/2023,7/28/2023,2134
2023-2024,Instructional,Para-Professional - General Education,Co-Teacher (College Prep): AR/Hot Spot/RRC,2022-5850,Mid-Year Vacancy,Filled,iLearning HotSpot Facilitator - IDEA Hardy College Prep (Immediate Opening),1,0,IDEA Hardy College Prep,"Greater Houston, TX",Full-Time,7/11/2023,7/18/2023,96463
2023-2024,Operations,Receptionist,Receptionist (Shared),2022-5857,Mid-Year Vacancy,Filled,Receptionist - IDEA University Prep (Immediate Opening),1,0,IDEA University Prep,Southern Louisiana,Full-Time,7/10/2023,7/14/2023,1927
2023-2024,Operations,Child Nutrition Program,Food Service Specialist (Shared),2022-5859,Mid-Year Vacancy,Filled,Food Service Specialist - IDEA Edgecliff (Immediate Opening),1,0,IDEA Edgecliff,"Tarrant County, TX",Full-Time,7/10/2023,7/20/2023,91857
2023-2024,Operations,Operations Support,Bus Monitor (Shared),2022-5865,Mid-Year Vacancy,Filled,Bus Monitor - IDEA Spears (Immediate Opening),1,0,IDEA Spears,"Greater Houston, TX",Part-Time,7/19/2023,7/28/2023,100997
2023-2024,Instructional,Teaching - Other,Teacher: AVID or Other,2022-5866,Annual Vacancy,Filled,ACT Prep Skills Teacher - IDEA Najim College Prep (Immediate Opening),1,0,IDEA Harvey E. Najim College Prep,"San Antonio, TX",Full-Time,7/12/2023,7/25/2023,96437
2023-2024,Operations,Business/Finance,Business Clerk (Shared),2022-5868,Mid-Year Vacancy,Filled,Business Clerk- IDEA Parmer Park (Immediate Opening),1,0,IDEA Parmer Park,"Greater Austin, TX",Full-Time,7/25/2023,9/12/2023,93381
